bottom,top
,10:58:32
,11:2:0
,11:6:44
,11:10:18
,11:16:16
,11:23:0
,11:48:19
,12:43:19
,12:53:17
,13:2:25
,13:16:44
,13:20:24
,13:23:22
,13:26:51
,13:39:22
,13:41:53
,14:47:19
,15:4:59
,15:10:59
15:26:43,
16:5:53,
,16:23:56
,16:27:55
,16:45:38
,16:52:19
,16:56:1
,17:1:27
