bottom,top
8:25:45,
,8:26:52
,9:25:0
,9:35:25
,10:21:30
,10:46:38
,10:55:32
,11:2:27
,11:45:24
13:1:25,
,13:12:56
,13:26:48
,13:35:27
,13:54:38
,14:5:4
,14:59:16
,15:8:0
,15:14:24
,15:22:38
,15:24:38
,16:35:53
,16:52:46
,16:54:51
