bottom,top
11:23:43,
,11:34:0
11:39:1,
,12:43:4
,13:1:18
,13:3:48
,13:23:57
,13:27:7
,13:30:28
,13:44:27
,14:31:10
14:43:29,
14:48:46,
,15:1:1
,15:28:7
,15:31:35
15:43:2,
16:21:27,
16:40:26,
,17:7:24
17:10:3,
,17:22:11
