bottom,top
8:53:39,
,8:57:53
,9:30:39
,9:47:57
,10:18:20
,10:36:11
,11:15:5
,11:36:46
,11:39:30
,11:47:48
,12:43:7
13:17:17,
13:22:37,
13:33:26,
,13:44:22
14:19:1,
,14:38:39
,14:47:18
15:22:7,
,15:27:45
,15:35:7
,16:38:5
,21:52:54
,23:0:49
,0:35:6
,0:58:4
,2:2:11
,2:5:41
,3:37:0
,4:4:48
,4:14:52
,4:42:18
,4:51:21
,5:19:53
,5:29:33
,5:45:22
,5:52:5
,6:6:5
,8:4:43
,9:13:16
,9:17:4
,9:39:42
,10:56:29
,11:3:44
,11:21:33
,11:30:2
,11:45:27
,12:42:40
,12:55:25
,13:20:31
14:20:2,
,14:22:58
,14:37:52
,14:44:52
,15:11:32
,15:13:59
,15:16:6
15:40:52,
,16:8:13
,16:17:59
,16:36:35
16:39:25,
,17:3:51
