bottom,top
,8:1:53
,8:25:22
10:1:10,
,10:2:0
,10:10:34
,10:12:50
,10:14:23
,10:36:56
,10:58:10
,11:38:18
,12:33:0
,15:2:49
,15:25:26
,16:6:56
,23:15:50
,23:42:16
,0:10:43
,0:44:20
,0:46:26
,2:38:43
,2:59:28
,5:36:2
